user_id,signup_date,segment,target_role,resume_uploaded,assessment_completed,roadmap_generated,first_task_completed,d7_active,d30_active
U00001,2026-01-07,Fresh graduate,Product Manager,1,1,1,0,0,0
U00002,2026-05-10,Final-year student,Software Engineer,1,1,1,1,0,0
U00003,2026-02-08,Working professional,Data Analyst,1,1,1,1,0,0
U00004,2026-05-09,Fresh graduate,Product Manager,1,1,1,1,1,0
U00005,2026-04-12,Final-year student,Product Manager,1,1,0,0,0,0
U00006,2026-02-06,Working professional,Product Manager,1,1,1,0,0,0
U00007,2026-03-26,Fresh graduate,Data Analyst,1,1,1,1,0,0
U00008,2026-01-07,Fresh graduate,Software Engineer,1,1,1,0,0,0
U00009,2026-05-07,Final-year student,Software Engineer,1,1,0,0,0,0
U00010,2026-02-24,Fresh graduate,Product Manager,1,1,1,1,0,0
U00011,2026-03-11,Final-year student,Product Manager,1,1,0,0,0,0
U00012,2026-01-29,Working professional,Product Manager,1,1,1,0,0,0
U00013,2026-03-07,Fresh graduate,Product Manager,1,1,1,0,0,0
U00014,2026-03-13,Working professional,Software Engineer,1,1,1,0,0,0
U00015,2026-02-10,Final-year student,Product Manager,1,1,1,0,0,0
U00016,2026-06-26,Final-year student,Product Manager,0,0,0,0,0,0
U00017,2026-02-20,Fresh graduate,Product Manager,1,1,1,1,0,0
U00018,2026-02-02,Final-year student,Product Manager,1,1,0,0,0,0
U00019,2026-04-09,Working professional,Software Engineer,1,1,1,1,0,0
U00020,2026-02-27,Fresh graduate,Product Manager,0,0,0,0,0,0
U00021,2026-03-23,Fresh graduate,Marketing,1,1,1,1,0,0
U00022,2026-05-11,Final-year student,Data Analyst,1,1,1,1,0,0
U00023,2026-01-15,Working professional,Data Analyst,1,0,0,0,0,0
U00024,2026-04-02,Working professional,Software Engineer,1,0,0,0,0,0
U00025,2026-01-04,Fresh graduate,Software Engineer,1,1,1,0,0,0
U00026,2026-01-08,Final-year student,Software Engineer,0,0,0,0,0,0
U00027,2026-01-17,Fresh graduate,Product Manager,1,1,1,0,0,0
U00028,2026-01-30,Final-year student,Product Manager,0,0,0,0,0,0
U00029,2026-03-04,Final-year student,Software Engineer,0,0,0,0,0,0
U00030,2026-06-18,Fresh graduate,Product Manager,1,1,1,0,0,0
U00031,2026-06-13,Fresh graduate,Product Manager,0,0,0,0,0,0
U00032,2026-01-19,Working professional,Data Analyst,1,0,0,0,0,0
U00033,2026-06-28,Final-year student,Product Manager,1,1,1,0,0,0
U00034,2026-04-25,Final-year student,Product Manager,1,0,0,0,0,0
U00035,2026-04-10,Fresh graduate,Software Engineer,1,1,1,0,0,0
U00036,2026-05-23,Final-year student,Product Manager,1,1,0,0,0,0
U00037,2026-03-29,Final-year student,Data Analyst,1,0,0,0,0,0
U00038,2026-02-17,Fresh graduate,Product Manager,1,1,1,1,0,0
U00039,2026-04-06,Final-year student,Data Analyst,1,1,0,0,0,0
U00040,2026-05-11,Fresh graduate,Data Analyst,1,1,1,1,0,0
U00041,2026-05-03,Final-year student,Product Manager,1,1,1,1,1,0
U00042,2026-01-31,Working professional,Product Manager,1,0,0,0,0,0
U00043,2026-06-18,Fresh graduate,Product Manager,1,1,1,1,1,0
U00044,2026-02-21,Final-year student,Product Manager,1,1,1,1,1,0
U00045,2026-05-28,Working professional,Product Manager,0,0,0,0,0,0
U00046,2026-02-26,Working professional,Marketing,1,0,0,0,0,0
U00047,2026-01-12,Final-year student,Product Manager,1,1,1,1,0,0
U00048,2026-06-29,Final-year student,Data Analyst,1,1,1,0,0,0
U00049,2026-04-16,Fresh graduate,Product Manager,1,0,0,0,0,0
U00050,2026-02-08,Final-year student,Marketing,1,1,1,1,1,0
U00051,2026-01-01,Final-year student,Product Manager,1,1,0,0,0,0
U00052,2026-01-24,Final-year student,Product Manager,1,1,1,1,0,0
U00053,2026-01-31,Fresh graduate,Software Engineer,1,1,1,0,0,0
U00054,2026-06-16,Fresh graduate,Product Manager,1,1,0,0,0,0
U00055,2026-02-01,Fresh graduate,Data Analyst,1,1,0,0,0,0
U00056,2026-01-30,Fresh graduate,Product Manager,1,1,0,0,0,0
U00057,2026-05-31,Fresh graduate,Product Manager,1,1,1,0,0,0
U00058,2026-06-08,Fresh graduate,Product Manager,1,1,0,0,0,0
U00059,2026-02-07,Final-year student,Software Engineer,1,1,1,1,0,0
U00060,2026-04-28,Final-year student,Product Manager,1,1,1,1,1,0
U00061,2026-04-07,Fresh graduate,Product Manager,1,1,1,1,1,1
U00062,2026-04-14,Fresh graduate,Product Manager,0,0,0,0,0,0
